[2023-04-03 11:39:21] INFO: CheckM v1.2.2
[2023-04-03 11:39:21] INFO: checkm qa -o 7 xanthomonas.ms genomes.checkm
[2023-04-03 11:39:21] INFO: CheckM data: /home/djs217/checkm/data
[2023-04-03 11:39:21] INFO: [CheckM - qa] Tabulating genome statistics.
[2023-04-03 11:39:21] INFO: Calculating AAI between multi-copy marker genes.
[2023-04-03 11:39:21] INFO: Reading HMM info from file.
[2023-04-03 11:39:25] INFO: Parsing HMM hits to marker genes:
Bin Id	Marker Id	Gene Ids
GCA_000454545.1_20120625_genomic	TIGR01051	CM002139.1_3425,CM002139.1_3994
GCA_000454545.1_20120625_genomic	PF00515.23	CM002139.1_2972,CM002139.1_3023
GCA_000454545.1_20120625_genomic	PF00577.15	CM002139.1_4022,CM002139.1_4333
GCA_000454545.1_20120625_genomic	PF13953.1	CM002139.1_4022,CM002139.1_4333
GCA_000454545.1_20120625_genomic	PF00542.14	CM002139.1_1435,CM002139.1_3412
GCA_000772705.2_NCPPB2417v2_genomic	PF01624.15	JSBW02000052.1_53,JSBW02000052.1_60
GCA_000772705.2_NCPPB2417v2_genomic	PF00491.16	JSBW02000002.1_246,JSBW02000002.1_82
GCA_000802365.1_NCPPB2877_E1.0_genomic	TIGR00128	JSZE01000081.1_11,JSZE01000081.1_4
GCA_001010415.1_ASM101041v1_genomic	PF00515.23	JPLE01000012.1_17,JPLE01000012.1_76
GCA_001013475.1_ASM101347v1_genomic	PF02823.11	JZEF01000004.1_140,JZEF01000004.1_288
GCA_001013475.1_ASM101347v1_genomic	PF07944.7	JZEF01000001.1_545,JZEF01000001.1_549
GCA_001043115.1_NCPPB1128_genomic	PF02146.12	LFME01000002.1_31,LFME01000002.1_47
GCA_001642575.1_Xfloridensis_v1.0_genomic	PF10099.4	LXNG01000017.1_55,LXNG01000017.1_82
GCA_001660815.1_Xnasturtii_v1.0_genomic	PF13857.1	LYMI01000002.1_23,LYMI01000002.1_74
GCA_001660815.1_Xnasturtii_v1.0_genomic	PF03924.8	LYMI01000013.1_23,LYMI01000013.1_32
GCA_001908725.1_ASM190872v1_genomic	PF00308.13	CP018725.1_1088,CP018725.1_2429
GCA_001908725.1_ASM190872v1_genomic	PF12705.2	CP018726.1_112,CP018726.1_30
GCA_001908725.1_ASM190872v1_genomic	PF01436.16	CP018725.1_3075,CP018725.1_409
GCA_001908725.1_ASM190872v1_genomic	PF03602.10	CP018725.1_3018,CP018725.1_699
GCA_001908725.1_ASM190872v1_genomic	PF01807.15	CP018725.1_1985,CP018725.1_3554
GCA_001908725.1_ASM190872v1_genomic	PF00574.18	CP018725.1_3561,CP018725.1_3589
GCA_001908725.1_ASM190872v1_genomic	PF01337.13	CP018725.1_573,CP018725.1_678
GCA_002018575.1_ASM201857v1_genomic	PF00515.23	MDJT01000135.1_111,MDJT01000135.1_157
GCA_002939705.1_ASM293970v1_genomic	PF00553.14	MDCB01000006.1_57,MDCB01000006.1_66
GCA_002939705.1_ASM293970v1_genomic	PF00704.23	MDCB01000007.1_32,MDCB01000007.1_66
GCA_002939755.1_XbrCFBP1976_genomic	PF13857.1	MDCE01000005.1_113,MDCE01000005.1_61
GCA_002939755.1_XbrCFBP1976_genomic	PF02146.12	MDCE01000029.1_43,MDCE01000029.1_46
GCA_002939865.1_ASM293986v1_genomic	PF12992.2	MDEE01000050.1_21,MDEE01000050.1_24
GCA_002939885.1_ASM293988v1_genomic	PF07944.7	MDED01000008.1_19,MDED01000008.1_22
GCA_002940085.1_ASM294008v1_genomic	PF02146.12	MDEK01000004.1_32,MDEK01000004.1_48
GCA_002940085.1_ASM294008v1_genomic	PF03924.8	MDEK01000001.1_241,MDEK01000001.1_257
GCA_003363875.1_ASM336387v1_genomic	PF00515.23	QRET01000002.1_3550,QRET01000002.1_3611,QRET01000002.1_459
GCA_003363875.1_ASM336387v1_genomic	PF13103.1	QRET01000002.1_2353,QRET01000002.1_3363
GCA_003363875.1_ASM336387v1_genomic	PF01436.16	QRET01000002.1_2386,QRET01000002.1_859
GCA_003363875.1_ASM336387v1_genomic	PF01807.15	QRET01000002.1_2740,QRET01000002.1_60
GCA_003363875.1_ASM336387v1_genomic	PF00574.18	QRET01000002.1_1324,QRET01000002.1_2733
GCA_003363885.1_ASM336388v1_genomic	PF13103.1	QREU01000003.1_1196,QREU01000003.1_256
GCA_003363885.1_ASM336388v1_genomic	PF06903.7	QREU01000001.1_316,QREU01000001.1_318
GCA_004136375.1_ASM413637v1_genomic	PF00515.23	CP031697.1_1240,CP031697.1_1308
GCA_004136375.1_ASM413637v1_genomic	PF13857.1	CP031697.1_4442,CP031697.1_4493
GCA_008119715.1_ASM811971v1_genomic	PF00923.14	NQYO01000129.1_18,NQYO01000129.1_20
GCA_008119715.1_ASM811971v1_genomic	PF02146.12	NQYO01000008.1_23,NQYO01000008.1_9
GCA_008119715.1_ASM811971v1_genomic	PF03924.8	NQYO01000034.1_16,NQYO01000034.1_2
GCA_009192945.1_ASM919294v1_genomic	PF03924.8	NSET01000053.1_12,NSET01000053.1_21
GCA_009192945.1_ASM919294v1_genomic	PF10099.4	NSET01000064.1_11,NSET01000064.1_36
GCA_009769165.1_ASM976916v1_genomic	TIGR00517	CP043476.1_2863,CP043476.1_309
GCA_009769165.1_ASM976916v1_genomic	TIGR00004	CP043476.1_2533,CP043476.1_4121
GCA_009769165.1_ASM976916v1_genomic	TIGR03558	CP043476.1_1478,CP043476.1_3472
GCA_009769165.1_ASM976916v1_genomic	TIGR01439	CP043476.1_241,CP043476.1_3642
GCA_009769165.1_ASM976916v1_genomic	TIGR00556	CP043476.1_2030,CP043476.1_2650,CP043476.1_3596
GCA_009769165.1_ASM976916v1_genomic	TIGR01488	CP043476.1_312,CP043476.1_3969
GCA_009769165.1_ASM976916v1_genomic	TIGR00998	CP043476.1_3047,CP043476.1_618
GCA_009769165.1_ASM976916v1_genomic	TIGR02448	CP043476.1_1704,CP043476.1_3611
GCA_009769165.1_ASM976916v1_genomic	PF04299.7	CP043476.1_2014,CP043476.1_2137,CP043476.1_3444
GCA_009769165.1_ASM976916v1_genomic	PF02421.13	CP043476.1_3583,CP043476.1_3619
GCA_009769165.1_ASM976916v1_genomic	PF13857.1	CP043476.1_2293,CP043476.1_398
GCA_009769165.1_ASM976916v1_genomic	PF01512.12	CP043476.1_1608,CP043476.1_487
GCA_009769165.1_ASM976916v1_genomic	PF10589.4	CP043476.1_1608,CP043476.1_487
GCA_009769165.1_ASM976916v1_genomic	PF00308.13	CP043476.1_1671,CP043476.1_561
GCA_009769165.1_ASM976916v1_genomic	PF05193.16	CP043476.1_1650,CP043476.1_2214
GCA_009769165.1_ASM976916v1_genomic	PF00675.15	CP043476.1_1650,CP043476.1_2214
GCA_009769165.1_ASM976916v1_genomic	PF11855.3	CP043476.1_1373,CP043476.1_3801
GCA_009769165.1_ASM976916v1_genomic	PF01619.13	CP043476.1_1354,CP043476.1_3871
GCA_009769165.1_ASM976916v1_genomic	PF03764.13	CP043476.1_3095,CP043476.1_741
GCA_009769165.1_ASM976916v1_genomic	PF04339.7	CP043476.1_308,CP043476.1_3739
GCA_009769165.1_ASM976916v1_genomic	PF13835.1	CP043476.1_1372,CP043476.1_3802
GCA_009769165.1_ASM976916v1_genomic	PF07063.8	CP043476.1_1299,CP043476.1_2026
GCA_009769165.1_ASM976916v1_genomic	PF02230.11	CP043476.1_2263,CP043476.1_2723
GCA_009769165.1_ASM976916v1_genomic	PF00545.15	CP043476.1_1580,CP043476.1_3193
GCA_009769165.1_ASM976916v1_genomic	PF02867.10	CP043476.1_1827,CP043476.1_1863
GCA_009769165.1_ASM976916v1_genomic	PF00317.16	CP043476.1_1827,CP043476.1_1863
GCA_009769165.1_ASM976916v1_genomic	PF05496.7	CP043476.1_3745,CP043476.1_376
GCA_009769165.1_ASM976916v1_genomic	PF13714.1	CP043476.1_2304,CP043476.1_2883
GCA_009769165.1_ASM976916v1_genomic	PF02146.12	CP043476.1_1799,CP043476.1_1828
GCA_009769165.1_ASM976916v1_genomic	PF03819.12	CP043476.1_2651,CP043476.1_2969,CP043476.1_853
GCA_009769165.1_ASM976916v1_genomic	PF00491.16	CP043476.1_1776,CP043476.1_307
GCA_009769165.1_ASM976916v1_genomic	PF08521.5	CP043476.1_2424,CP043476.1_298
GCA_011761725.1_ASM1176172v1_genomic	PF12992.2	JAASRG010000002.1_759,JAASRG010000002.1_762
GCA_011761725.1_ASM1176172v1_genomic	PF02823.11	JAASRG010000001.1_1148,JAASRG010000001.1_1607
GCA_012848175.1_ASM1284817v1_genomic	TIGR02490	CP051651.1_1585,CP051651.1_3892
